"","detection_history.o12","detection_history.o13","detection_history.o14","detection_history.o15","detection_history.o16","detection_history.o17","detection_history.o18","detection_history.o19","detection_history.o20","detection_history.o21","detection_history.o22","detection_history.o23","detection_history.o24","detection_history.o25","detection_history.o26","detection_history.o27","detection_history.o28","detection_history.o29","detection_history.o30","detection_history.o31","detection_history.o32"
"1",0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,1,1,3,1,0,0
"2",0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1
"3",0,1,0,0,1,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0
"4",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"5",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"9",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"10",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
"11",2,0,0,0,0,1,0,1,0,1,2,0,1,1,1,0,1,1,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"15",1,0,1,2,1,1,0,0,0,0,0,3,0,1,0,1,1,0,0,1,5
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",1,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,1,0,1,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",1,1,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,1,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
