"Station","lat","lon","Start","Finish","Problem1_from","Problem1_to","Problem2_from","Problem2_to","X","Y"
"Y900",-23.401411,150.658312,"21/05/2019","6/08/2019",NA,NA,NA,NA,873966.765058456,7407296.89632443
"Y901",-23.399085,150.656888,"21/05/2019","6/08/2019",NA,NA,NA,NA,873827.607323561,7407558.45798188
"Y902",-23.399044,150.660432,"21/05/2019","6/08/2019",NA,NA,NA,NA,874190.350058362,7407553.79465002
"Y903",-23.398979,150.663242,"21/05/2019","6/08/2019","26/06/2019","6/08/2019",NA,NA,874478.057371883,7407553.69284253
"Y912",-23.396193,150.655156,"22/05/2019","6/08/2019",NA,NA,NA,NA,873658.520241774,7407883.56423087
"Y906",-23.396372,150.65877,"21/05/2019","6/08/2019",NA,NA,NA,NA,874027.813718627,7407854.33485764
"Y904",-23.396312,150.662034,"21/05/2019","6/08/2019",NA,NA,NA,NA,874361.967314234,7407852.50213322
"Y905",-23.396416,150.665343,"21/05/2019","6/08/2019",NA,NA,NA,NA,874700.264144262,7407832.36340993
"Y910",-23.393242,150.653802,"22/05/2019","6/08/2019",NA,NA,NA,NA,873528.269585924,7408214.22755004
"Y911",-23.393433,150.656828,"22/05/2019","6/08/2019",NA,NA,NA,NA,873837.369894394,7408185.19918891
"Y907",-23.393891,150.660407,"21/05/2019","6/08/2019",NA,NA,NA,NA,874202.304326412,7408125.12705047
"Y908",-23.393668,150.663622,"21/05/2019","6/08/2019",NA,NA,NA,NA,874531.910105561,7408141.48908618
"Y909",-23.393541,150.667218,"21/05/2019","6/08/2019",NA,NA,NA,NA,874900.233355085,7408146.20906719
"Y913",-23.390671,150.65512,"22/05/2019","6/08/2019",NA,NA,NA,NA,873670.363623707,7408495.83021387
"Y933",-23.390942,150.658446,"24/05/2019","6/08/2019",NA,NA,NA,NA,874009.943331764,7408457.15155234
"Y934",-23.390875,150.662047,"24/05/2019","6/08/2019",NA,NA,NA,NA,874378.61477726,7408455.2209262
"Y935",-23.390609,150.665247,"24/05/2019","6/08/2019",NA,NA,NA,NA,874706.814983547,7408476.38612937
"Y914",-23.387884,150.653449,"22/05/2019","6/08/2019",NA,NA,NA,NA,873507.205864163,7408809.13383434
"Y918",-23.387851,150.656831,"22/05/2019","6/08/2019",NA,NA,NA,NA,873853.378224785,7408804.01626167
"Y919",-23.388203,150.66046,"22/05/2019","6/08/2019",NA,NA,NA,NA,874223.743328555,7408755.56717546
"Y920",-23.388356,150.663931,"22/05/2019","6/08/2019",NA,NA,NA,NA,874578.500135397,7408729.58088508
"Y916",-23.385253,150.648092,"22/05/2019","6/08/2019",NA,NA,NA,NA,872966.40832487,7409114.69070598
"Y915",-23.385073,150.652075,"22/05/2019","6/08/2019",NA,NA,NA,NA,873374.500173146,7409124.32531596
"Y917",-23.385307,150.655182,"22/05/2019","6/08/2019",NA,NA,NA,NA,873691.78763264,7409090.32565506
"Y923",-23.384789,150.658782,"23/05/2019","7/08/2019",NA,NA,NA,NA,874061.640292713,7409138.40598844
"Y931",-23.385249,150.66209,"23/05/2019","7/08/2019",NA,NA,NA,NA,874398.861236277,7409078.81425756
"Y929",-23.382693,150.650322,"23/05/2019","6/08/2019","23/05/2019","26/06/2019","26/06/2019","6/08/2019",873201.793466133,7409392.71603619
"Y930",-23.382241,150.653275,"23/05/2019","7/08/2019",NA,NA,NA,NA,873505.254334447,7409435.17052549
"Y921",-23.382292,150.657537,"23/05/2019","7/08/2019",NA,NA,NA,NA,873941.259400458,7409418.45836791
"Y922",-23.382714,150.660417,"23/05/2019","7/08/2019","23/05/2019","26/06/2019",NA,NA,874234.794882209,7409364.19516885
"Y924",-23.379401,150.652729,"23/05/2019","6/08/2019",NA,NA,NA,NA,873457.356273972,7409751.42963354
"Y926",-23.379475,150.655595,"23/05/2019","7/08/2019",NA,NA,NA,NA,873750.444212439,7409735.79301532
"Y927",-23.37981,150.658994,"23/05/2019","7/08/2019",NA,NA,NA,NA,874097.343596554,7409689.83173928
"Y932",-23.379871,150.662108,"23/05/2019","7/08/2019",NA,NA,NA,NA,874415.847753016,7409674.97878185
"Y925",-23.377589,150.654017,"23/05/2019","7/08/2019",NA,NA,NA,NA,873594.255835724,7409948.96905779
"Y928",-23.37761,150.657442,"23/05/2019","7/08/2019",NA,NA,NA,NA,873944.70394061,7409937.7549846
"Y936",-23.377611,150.66415,"24/05/2019","7/08/2019",NA,NA,NA,NA,874631.186020015,7409920.21627306
