,site,Station,lat,lon,start,finish,Problem1_from,Problem1_to,X,Y
1,BL,b-b02,-35.409864,148.290706,22/10/2018,14/01/2019,NA,NA,9417204.241,4259856.794
2,BL,b-b04,-35.402444,148.290167,24/10/2018,15/01/2019,NA,NA,9417165.463,4260680.368
3,BL,b-c01,-35.413675,148.29329,22/10/2018,15/01/2019,NA,NA,9417433.639,4259431.203
4,BL,b-c03,-35.40563,148.29341,22/10/2018,14/01/2019,NA,NA,9417455.583,4260323.36
5,BL,b-c05,-35.398417,148.293222,24/10/2018,15/01/2019,NA,NA,9417448.416,4261123.58
6,BL,b-d02,-35.410301,148.296711,22/10/2018,15/01/2019,NA,NA,9417748.903,4259801.572
7,BL,b-d04,-35.402611,148.296,24/10/2018,15/01/2019,NA,NA,9417694.926,4260655.289
8,BL,b-e01,-35.41371,148.29918,22/10/2018,16/01/2019,NA,NA,9417968.389,4259420.684
9,BL,b-e03,-35.40651,148.29887,22/10/2018,16/01/2019,NA,NA,9417950.171,4260219.605
10,BL,b-f02,-35.41005,148.30164,22/10/2018,14/01/2019,NA,NA,9418196.809,4259823.844
11,BL,b-f04,-35.402167,148.300831,22/10/2018,16/01/2019,NA,NA,9418134.239,4260699.081
12,BL,b-g01,-35.413869,148.305459,24/10/2018,15/01/2019,NA,NA,9418538.286,4259395.941
13,BL,b-g03,-35.405694,148.304556,22/10/2018,14/01/2019,NA,NA,9418467.619,4260303.676
14,BL,b-h02,-35.410672,148.306851,24/10/2018,15/01/2019,NA,NA,9418669.112,4259748.949
15,BL,b-i03,-35.406333,148.309667,22/10/2018,15/01/2019,NA,NA,9418930.84,4260226.995
16,BL,b-i05,-35.397917,148.30975,24/10/2018,15/01/2019,NA,NA,9418950.081,4261160.334
17,BL,b-j02,-35.410338,148.31263,24/10/2018,15/01/2019,NA,NA,9419194.314,4259779.414
18,BL,b-j04,-35.401778,148.312944,24/10/2018,15/01/2019,NA,NA,9419234.759,4260728.464
19,BL,b-j06,-35.394111,148.312917,24/10/2018,15/01/2019,NA,NA,9419242.995,4261578.852
20,BL,b-k03,-35.405917,148.315417,22/10/2018,14/01/2019,NA,NA,9419453.551,4260266.574
21,BL,b-k05,-35.39808,148.31558,24/10/2018,15/01/2019,NA,NA,9419479.299,4261135.603
22,BL,b-l04,-35.40163,148.31813,24/10/2018,15/01/2019,NA,NA,9419705.906,4260738.948
23,BL,b-l06,-35.393861,148.317639,24/10/2018,15/01/2019,NA,NA,9419672.188,4261601.18
24,BL,b-m05,-35.39764,148.32053,24/10/2018,15/01/2019,NA,NA,9419929.445,4261178.731
25,BL,b-n04,-35.40157,148.32335,24/10/2018,15/01/2019,NA,NA,9420180.019,4260739.609
26,BL,b-n06,-35.394167,148.323667,24/10/2018,16/01/2019,NA,NA,9420219.211,4261560.32
27,BL,b-n08,-35.387,148.325032,24/10/2018,16/01/2019,NA,NA,9420353.26,4262353.644
28,BL,b-o05,-35.398111,148.326083,24/10/2018,15/01/2019,28/11/2018,15/01/2019,9420433.074,4261120.104
29,BL,b-o07,-35.389407,148.325637,24/10/2018,16/01/2019,NA,NA,9420404.822,4262085.986
30,BL,b-p06,-35.393614,148.329776,24/10/2018,16/01/2019,NA,NA,9420774.798,4261614.607
31,BL,b-p08,-35.386628,148.329893,24/10/2018,16/01/2019,NA,NA,9420795.288,4262389.292
